round,deviceId,trust,access
1,d1,8,DENIED
1,d2,98,ALLOWED
1,d3,42,DENIED
1,d4,73,ALLOWED
1,d5,68,ALLOWED
1,d6,58,ALLOWED
1,d7,98,ALLOWED
1,d8,95,ALLOWED
1,d9,39,DENIED
1,d10,97,ALLOWED
1,d11,68,ALLOWED
1,d12,61,ALLOWED
1,d13,91,ALLOWED
1,d14,73,ALLOWED
1,d15,87,DENIED
1,d16,92,ALLOWED
1,d17,45,DENIED
1,d18,75,ALLOWED
1,d19,37,DENIED
1,d20,95,ALLOWED
1,d21,18,DENIED
1,d22,37,DENIED
1,d23,41,DENIED
1,d24,69,ALLOWED
1,d25,98,ALLOWED
1,d26,60,ALLOWED
1,d27,24,DENIED
1,d28,55,ALLOWED
1,d29,68,ALLOWED
1,d30,71,ALLOWED
1,d31,36,DENIED
1,d32,98,ALLOWED
1,d33,3,DENIED
1,d34,89,ALLOWED
1,d35,78,ALLOWED
1,d36,94,ALLOWED
1,d37,3,DENIED
1,d38,0,DENIED
1,d39,24,DENIED
1,d40,36,DENIED
1,d41,61,ALLOWED
1,d42,53,ALLOWED
1,d43,31,DENIED
1,d44,99,ALLOWED
1,d45,91,DENIED
1,d46,32,DENIED
1,d47,0,DENIED
1,d48,81,ALLOWED
1,d49,71,ALLOWED
1,d50,5,DENIED
1,d51,17,DENIED
1,d52,76,ALLOWED
1,d53,94,ALLOWED
1,d54,43,DENIED
1,d55,82,ALLOWED
1,d56,67,ALLOWED
1,d57,40,DENIED
1,d58,31,DENIED
1,d59,68,ALLOWED
1,d60,46,DENIED
1,d61,78,ALLOWED
1,d62,41,DENIED
1,d63,30,DENIED
1,d64,26,DENIED
1,d65,68,ALLOWED
1,d66,59,ALLOWED
1,d67,37,DENIED
1,d68,67,ALLOWED
1,d69,81,DENIED
1,d70,51,ALLOWED
1,d71,99,ALLOWED
1,d72,93,ALLOWED
1,d73,16,DENIED
1,d74,41,DENIED
1,d75,98,DENIED
1,d76,60,ALLOWED
1,d77,27,DENIED
1,d78,42,DENIED
1,d79,75,ALLOWED
1,d80,6,DENIED
1,d81,34,DENIED
1,d82,99,ALLOWED
1,d83,31,DENIED
1,d84,71,ALLOWED
1,d85,62,ALLOWED
1,d86,60,ALLOWED
1,d87,99,DENIED
1,d88,76,ALLOWED
1,d89,15,DENIED
1,d90,14,DENIED
1,d91,40,DENIED
1,d92,52,ALLOWED
1,d93,52,DENIED
1,d94,15,DENIED
1,d95,58,ALLOWED
1,d96,10,DENIED
1,d97,87,ALLOWED
1,d98,24,DENIED
1,d99,83,DENIED
1,d100,54,ALLOWED
2,d1,0,DENIED
2,d2,100,ALLOWED
2,d3,48,DENIED
2,d4,53,ALLOWED
2,d5,48,DENIED
2,d6,38,DENIED
2,d7,100,ALLOWED
2,d8,100,ALLOWED
2,d9,19,DENIED
2,d10,77,ALLOWED
2,d11,77,ALLOWED
2,d12,64,ALLOWED
2,d13,71,ALLOWED
2,d14,80,ALLOWED
2,d15,95,DENIED
2,d16,72,ALLOWED
2,d17,48,DENIED
2,d18,55,ALLOWED
2,d19,39,DENIED
2,d20,100,ALLOWED
2,d21,0,DENIED
2,d22,45,DENIED
2,d23,21,DENIED
2,d24,75,ALLOWED
2,d25,78,ALLOWED
2,d26,68,ALLOWED
2,d27,28,DENIED
